huc12_code,huc12_name,huc10_name,n_observations,n_no3_readings,avg_no3_ppm,pct_no3_impaired,n_phos_readings,avg_orthophosphate_ppb,pct_phos_impaired,bank_erosion_flags,algal_bloom_flags,livestock_in_water_flags,pipe_drain_outflow_flags,trash_flags,fish_kill_flags,fish_barrier_flags,cdl_year,row_crop,pasture,forest,urban,other
070500051003,Cady Creek,705000510,28,24,2.2,0.0,27,85.0,50.0,0,0,1,1,0,0,0,2023,36.1,28.0,29.7,5.2,0.9
070400010704,Miller Creek,704000107,29,7,2.1,0.0,21,210.0,34.0,0,0,0,0,0,0,0,2023,41.5,23.2,23.5,10.4,1.3
070700060205,West Fork Kickapoo River,707000602,7,6,2.0,0.0,1,0.0,0.0,1,0,0,0,0,0,0,2023,11.2,25.9,56.9,4.8,1.1
070500050703,Pine Creek-Lowes Creek,705000507,9,2,2.0,0.0,2,100.0,22.0,2,0,0,0,4,0,0,2023,19.4,21.9,31.0,21.6,6.2
070400071003,Squaw Creek,704000710,6,6,2.0,0.0,6,267.0,100.0,0,0,0,0,0,0,3,2023,20.8,17.5,52.6,6.0,3.1
070500051005,Knights Creek,705000510,8,4,2.0,0.0,4,125.0,38.0,0,0,1,0,0,0,1,2023,40.4,15.6,38.3,4.4,1.3
070500050602,Elk Creek Lake-Elk Creek,705000506,15,8,2.0,0.0,3,500.0,20.0,1,0,0,0,0,0,0,2023,42.8,21.7,21.2,8.9,5.5
070400071104,Little Tamarack Creek-Beaver Creek,704000711,5,1,2.0,0.0,2,150.0,40.0,0,0,1,0,0,0,1,2023,33.8,17.5,37.9,6.6,4.3
070400050204,French Creek,704000502,11,11,2.0,0.0,11,64.0,55.0,0,0,0,0,0,0,1,2023,26.4,18.0,48.3,4.3,3.0
070400071102,North Fork of Beaver Creek,704000711,18,18,1.9,0.0,17,241.0,89.0,1,0,1,0,0,0,3,2023,19.0,17.1,57.8,4.8,1.3
070400060102,Halfway Creek,704000601,20,19,1.8,0.0,16,62.0,45.0,2,0,0,0,0,0,2,2023,12.9,20.5,56.8,8.8,1.1
070600010501,Mormon Creek,706000105,11,10,1.8,0.0,5,20.0,9.0,3,0,0,1,1,0,0,2023,20.2,20.9,50.2,7.5,1.1
070700050401,Upper Honey Creek,707000504,15,14,1.8,0.0,14,157.0,73.0,0,0,1,0,0,0,0,2023,26.5,22.2,44.6,4.9,1.8
070600010703,Sugar Creek,706000107,6,6,1.7,0.0,4,0.0,0.0,0,0,0,0,0,0,0,2023,18.5,16.6,58.1,5.3,1.4
070700051301,West Branch Mill Creek-Mill Creek,707000513,8,6,1.7,0.0,6,17.0,12.0,1,0,0,0,0,0,1,2023,13.1,26.7,55.1,4.7,0.4
070700051104,Faney Creek,707000511,10,10,1.7,0.0,10,40.0,30.0,1,0,0,0,0,0,0,2023,14.8,28.2,51.1,5.0,0.8
070700050403,Middle Honey Creek,707000504,7,6,1.7,0.0,6,317.0,86.0,0,0,0,0,0,0,0,2023,26.8,27.5,36.6,5.7,3.3
070700051803,Gran Grae Creek,707000518,5,5,1.6,0.0,5,0.0,0.0,0,0,0,0,0,0,0,2023,13.5,19.5,59.3,4.2,3.5
070700051002,Middle Willow Creek,707000510,5,5,1.6,0.0,5,60.0,60.0,1,0,1,0,0,0,0,2023,13.1,27.3,53.7,4.7,1.2
070600010101,Timber Coulee Creek,706000101,5,5,1.6,0.0,4,25.0,20.0,2,0,0,0,1,0,0,2023,16.7,36.4,40.3,6.2,0.4
070400030101,North Fork of the Buffalo River,704000301,7,6,1.5,0.0,6,67.0,57.0,0,0,0,0,0,0,1,2023,25.9,19.8,42.7,6.2,5.4
070400071103,French Creek,704000711,8,8,1.5,0.0,8,88.0,75.0,0,0,1,0,0,0,0,2023,17.2,18.5,58.4,5.0,0.9
070700060403,Tainter Creek,707000604,9,9,1.4,0.0,6,0.0,0.0,0,0,2,0,0,0,0,2023,27.3,26.5,40.7,5.1,0.3
070400010204,City of Farmington-Vermillion River,704000102,17,14,1.4,0.0,7,0.0,0.0,6,0,1,3,6,0,0,2023,43.3,30.7,5.9,15.7,4.4
070700051502,West Fork Knapp Creek,707000515,8,7,1.4,0.0,6,0.0,0.0,0,0,0,0,0,0,1,2023,8.6,17.9,68.5,4.6,0.4
070700051503,Middle Knapp Creek,707000515,5,5,1.4,0.0,5,0.0,0.0,0,0,1,0,0,0,0,2023,13.6,20.2,61.1,4.6,0.6
070700051703,Richland Creek,707000517,8,8,1.2,0.0,6,17.0,12.0,0,0,0,0,0,0,1,2023,10.8,26.1,57.1,5.4,0.5
070600010103,Middle Coon Creek,706000101,5,4,1.0,0.0,3,0.0,0.0,1,0,0,0,0,0,0,2023,15.3,27.1,50.9,6.3,0.4
070400050501,Trout Run Creek-Trempealeau River,704000505,5,5,1.0,0.0,4,75.0,40.0,1,0,2,0,0,0,0,2023,29.6,22.8,38.2,5.5,3.9
070400071101,South Fork of Beaver Creek,704000711,12,12,1.0,0.0,12,100.0,58.0,2,0,0,1,0,0,3,2023,16.8,13.3,63.5,4.8,1.6
070400060403,Smith Valley Creek-La Crosse River,704000604,6,2,1.0,0.0,5,100.0,50.0,0,0,0,1,0,0,0,2023,2.7,12.7,39.9,31.5,13.1
070500060402,Otter Creek,705000604,11,2,1.0,0.0,2,200.0,18.0,8,0,1,0,2,0,0,2023,34.8,22.3,23.6,16.1,3.1
070400030402,Little Waumaundee Creek,704000304,5,5,0.8,0.0,5,20.0,20.0,0,0,0,0,0,0,0,2023,21.8,16.5,57.5,3.3,0.8
070700051103,Hawkins Creek-Pine River,707000511,10,8,0.8,0.0,8,12.0,10.0,0,0,0,0,0,0,0,2023,10.3,26.6,56.7,4.7,1.6
070500051004,Burkhart Creek-Eau Galle Creek,705000510,20,13,0.8,0.0,14,36.0,25.0,1,0,1,0,0,0,1,2023,30.5,23.8,37.1,7.5,1.1
070300050907,Browns Creek,703000509,22,19,0.6,0.0,6,50.0,14.0,3,0,0,0,2,0,1,2023,6.8,37.0,22.2,22.4,11.6
070700051501,Upper Knapp Creek,707000515,7,7,0.6,0.0,6,0.0,0.0,0,0,0,0,0,0,0,2023,11.5,26.8,56.1,5.4,0.2
070200121110,Minnesota River,702001211,26,24,0.4,0.0,24,8.0,8.0,1,1,0,0,1,0,0,2023,0.2,3.9,9.5,71.0,15.3
070400010202,South Creek,704000102,5,3,0.0,0.0,4,100.0,80.0,0,0,0,0,0,0,0,2023,18.6,17.7,11.3,45.3,7.0
070200121106,Eagle Creek-Minnesota River,702001211,11,4,0.0,0.0,4,0.0,0.0,0,0,0,0,0,0,0,2023,0.6,4.6,9.1,52.4,33.3
070600040801,Headwaters Elk Creek,706000408,6,0,,0.0,5,200.0,83.0,0,0,0,0,0,0,2,2023,42.1,30.1,22.6,4.9,0.3
